id,symbol,name,priceUsd,marketCapUsd,volumeUsd24Hr,last_updated
dogecoin,DOGE,Dogecoin,0.1125099999999999,19122819881.87141,1181385934.590336,2026-05-16 02:30:40
bitcoin,BTC,Bitcoin,77891.92999999998,1560202853751.2896,20726045344.061226,2026-05-17 02:38:11
ethereum,ETH,Ethereum,2174.74,262460326043.43448,7783249064.133835,2026-05-17 02:38:11
tether,USDT,Tether USDt,0.9997020179064068,189800912388.9084,187956858.15885568,2026-05-17 02:38:11
binance-coin,BNB,BNB,651.7,87839616413.96202,767337181.613203,2026-05-17 02:38:11
xrp,XRP,XRP,1.4073,87012015619.56598,1216974336.1683247,2026-05-17 02:38:11
usd-coin,USDC,USDC,1.0002,76994624941.42758,1407586070.1783388,2026-05-17 02:38:11
solana,SOL,Solana,86.123835446,49793597310.71474,1857199205.580381,2026-05-17 02:38:11
tron,TRX,TRON,0.3537,33531001155.05932,460124531.587766,2026-05-17 02:38:11
steth,STETH,Lido Staked ETH,2175.21,19239916955.960365,4691669.043089253,2026-05-17 02:38:11
dogecoin,DOGE,Dogecoin,0.108616,18462578432.076515,747596817.3846166,2026-05-17 02:38:11
bitcoin,BTC,Bitcoin,76855.33999999998,1539450349882.6199,19661649676.934814,2026-05-18 02:48:33
ethereum,ETH,Ethereum,2117.53,255555778345.90585,8548384068.823539,2026-05-18 02:48:33
tether,USDT,Tether USDt,0.99956008,189773964414.75607,180829938.81534493,2026-05-18 02:48:33
binance-coin,BNB,BNB,644.94,86928446370.40561,610039762.1642652,2026-05-18 02:48:33
xrp,XRP,XRP,1.3941558675999999,86199326460.3999,1234231868.8622699,2026-05-18 02:48:33
usd-coin,USDC,USDC,1.0003,76972585217.64297,2015135230.2469893,2026-05-18 02:48:33
solana,SOL,Solana,84.95999999999998,49130806014.32079,1902179486.6129177,2026-05-18 02:48:33
tron,TRX,TRON,0.3553399999999999,33687043376.195896,390702997.00494415,2026-05-18 02:48:33
steth,STETH,Lido Staked ETH,2118.05,18758821335.01055,2962115.87526724,2026-05-18 02:48:33
dogecoin,DOGE,Dogecoin,0.1067599999999999,18148559773.793575,844560947.7354971,2026-05-18 02:48:33
bitcoin,BTC,Bitcoin,76735.36999999998,1537106531343.0498,33438914573.48508,2026-05-19 02:45:31
ethereum,ETH,Ethereum,2125.75,256547727596.6504,13057149220.683723,2026-05-19 02:45:31
tether,USDT,Tether USDt,0.9995,189761537600.38397,593323397.4528146,2026-05-19 02:45:31
binance-coin,BNB,BNB,642.46972,86595464044.23291,684735090.2220278,2026-05-19 02:45:31
xrp,XRP,XRP,1.3820333699999998,85449804005.68565,1543259917.7778945,2026-05-19 02:45:31
usd-coin,USDC,USDC,1.00047,76978380752.30751,5435019486.042217,2026-05-19 02:45:31
solana,SOL,Solana,84.91348320000002,49103603860.519165,2249791954.252249,2026-05-19 02:45:31
tron,TRX,TRON,0.3570999999999999,33854001586.546047,560686945.737851,2026-05-19 02:45:31
steth,STETH,Lido Staked ETH,2125.76,18831927407.768867,10805351.636109384,2026-05-19 02:45:31
dogecoin,DOGE,Dogecoin,0.10426,16086863049.365105,945943649.8402184,2026-05-19 02:45:31
bitcoin,BTC,Bitcoin,76608.02594549817,1534588227252.1763,22362707042.496426,2026-05-20 02:46:25
ethereum,ETH,Ethereum,2107.15,254302872563.78308,7993520542.220791,2026-05-20 02:46:25
tether,USDT,Tether USDt,0.99927042,189718050275.99567,553451908.2004993,2026-05-20 02:46:25
binance-coin,BNB,BNB,638.4634199999999,86055447747.62033,530671313.72038347,2026-05-20 02:46:25
xrp,XRP,XRP,1.3509,83524857457.878,1447043746.3826075,2026-05-20 02:46:25
usd-coin,USDC,USDC,1.0006,76926049138.61523,4727009230.318085,2026-05-20 02:46:25
solana,SOL,Solana,84.06856458,48574005883.34146,1591800756.0894575,2026-05-20 02:46:25
tron,TRX,TRON,0.35592,33742262677.1907,405675053.6989114,2026-05-20 02:46:25
steth,STETH,Lido Staked ETH,2108.69999998,18684529171.99677,8949899.097506596,2026-05-20 02:46:25
dogecoin,DOGE,Dogecoin,0.10248,17423787243.611828,486674606.4594391,2026-05-20 02:46:25
